key,en,am
global_indicators:8-10-1-title,"성인 100,000명 당 상업은행 지점들과 ATM의 개수",ա) Առևտրային բանկերի մասնաճյուղերի թիվը 100 հազար մեծահասակի հաշվով; բ) բանկոմատների թիվը 100 հազար մեծահասակի հաշվով 
global_indicators:8-10-2-title,"은행이나 기타 금융기관, 혹은 모바일 금융서비스 제공자의 계좌를 보유하고 있는 (15세 이상) 성인인구 비율",Բանկում կամ այլ ֆինանսական հաստատությունում կամ բջջային դրամական ծառայություն մատուցողի մոտ հաշիվ ունեցող չափահասների (15 տարեկան և ավելի բարձր տարիքի) համամասնությունը 
global_indicators:8-2-1-title,취업자 1인당 실질 GDP의 연 성장률,Մեկ զբաղված անձին ընկնող իրական ՀՆԱ¬ի տարեկան աճի ցուցանիշը 
global_indicators:8-3-1-title,비농업부문에서 비공식 고용율 (성별),Ոչ ֆորմալ զբաղվածության համամասնությունը ոչ գյուղատնտեսական զբաղվածության մեջ՝ ըստ սեռի 
global_indicators:8-4-1-title,"총 및 1인당 물질발자국, GDP 대비 물질발자국","Պաշարների սպառման ցուցանիշը, նույնը ըստ մեկ շնչի, նույնը ըստ ՀՆԱ-ի "
global_indicators:8-4-2-title,"총 및 1인당 물질소비량, GDP 대비 물질소비량","Պաշարների ներքին սպառումը, նույնը ըստ մեկ շնչի, նույնը ըստ ՀՆԱ-ի "
global_indicators:8-5-1-title,"여성과 남성 근로자의 평균 시간당 임금 (직업, 연령 및 장애별)","Իգական և արական սեռի վարձու աշխատողների ժամական միջին վաստակը ըստ զբաղմունքի, տարիքային խմբի և հաշմանդամություն ունենալու հանգամանքի "
global_indicators:8-5-2-title,"실업률 (성, 연령, 장애인별)","Գործազրկության մակարդակն ըստ սեռի, տարիքային խմբերի և հաշմանդամություն ունենալու հանգամանքի"
global_indicators:8-6-1-title,"교육, 취업, 혹은 훈련 상태에 있지 않은 청소년(15-24세)의 비율","Կրթություն կամ ուսուցում չստացող, զբաղվածություն չունեցող երիտասարդների (15-24 տարեկան) մասնաբաժինը"
global_indicators:8-7-1-title,5-17세 아동 중 아동노동인구와 비율(성 및 연령별),Երեխայի արգելված համարվող աշխատանքում ներգրավված 5-17 տարեկան երեխաների մասնաբաժինը և թվաքանակն ըստ սեռի և տարիքի
global_indicators:8-8-1-title,치명적 및 비치명적 산업 재해 빈도율((성별 및 이주 상태별),Մահացու և ոչ մահացու ելքով աշխատանքային վնասվածքների հաճախականության ցուցանիշը ըստ սեռի և միգրանտի կարգավիճակի 
global_indicators:8-8-2-title,국제노동기구(ILO) 협약과 국내입법에 기초한 노동권(집회 및 단체교섭의 자유)의 국가별 준수 수준 (성 및 이주 상태별),Աշխատանքային իրավունքների ազգային համապատասխանեցման ավելացում (միավորումներ կազմելու ազատություն և կոլեկտիվ պայմանագիր) համաձայն Աշխատանքի միջազգային կազմակերպության (ԱՄԿ) տեքստային աղբյուրների և ազգային օրենսդրության՝ ըստ սեռի ու միգրանտի կարգավիճակի 
global_indicators:8-9-1-title,전체 GDP 및 성장률에 관광분야가 직접적으로 기여하는 GDP 비율,"Զբոսաշրջությունից ստացվող ուղղակի ՀՆԱ-ն, որպես ընդհանուր ՀՆԱ-ի համամասնություն, և նույնը՝ աճի ցուցանիշում "
global_indicators:8-9-2-title,전체 관광산업 일자리(jobs) 중 지속가능한 관광산업 분야 일자리 수의 비율,"Կայուն զբոսաշրջության արդյունաբերության մեջ աշխատատեղերի թիվը, որպես տուրիզմի բնագավառում ընդհանուր աշխատատեղերի համամասնություն "
global_indicators:8-a-1-title,무역원조(Aid for Trade) 약정 및 지불,Հանձնառություններ և հատկացումներ «Օգնություն առևտրին» նախաձեռնության շրջանակում 
global_indicators:8-b-1-title,청년층 고용에 대한 국가 계획 개발 및 운영여부 – 별도 계획 혹은 국가 계획의 일부 인지 여부,Երիտասարդների զբաղվածության մշակված և գործարկված ազգային ռազմավարության առկայություն՝ որպես առանձին ռազմավարություն կամ ազգային զբաղվածության ռազմավարության մաս 
global_indicators:9-1-1-title,사계절 도로(all-season road) 2km 반경 내 거주하는 농촌인구비율,Տարվա բոլոր եղանակներին բանուկ ճանապարհից 2 կմ հեռու ապրող գյուղական բնակչության համամասնությունը 
global_indicators:9-1-2-title,승객 및 운송량  (교통수단별),Ուղևորների և բեռների ծավալները ըստ փոխադրման եղանակի 
global_indicators:9-2-1-title,GDP 대비 및 1인 당 제조업 부가가치 비율,Արտադրության ավելացված արժեքը որպես ՀՆԱ¬ի համամասնություն և մեկ շնչի հաշվով 
global_indicators:9-2-2-title,총 고용 대비 제조업 고용 비율,Մշակող արդյունաբերության ոլորտում զբաղվածությունը որպես ընդհանուր զբաղվածության  մասնաբաժին
global_indicators:9-3-1-title,총 산업부가가치 중 소규모(small-scale) 산업 비율,Փոքր արդյունաբերական ձեռնարկությունների համամասնությունը ընդհանուր արդյունաբերության ավելացված արժեքի մեջ 
